time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/std,train/explained_variance
542,129.02197467000002,325632,1031.06,599,159,24.06409575417638,0.019921716,0.20517578125,-3.1115621507167814,1580,0.0003,0.2,14.467694282531738,-0.009980699259904214,0.5362182259559631,0.8852560743689537
543,132.58040673999997,327680,1044.02,603,160,1.547660500369966,0.02821943,0.3224609375,-3.071696672588587,1590,0.0003,0.2,0.43344050645828247,-0.0031471281341509893,0.5276947021484375,0.34435075521469116
543,132.65491968999999,329728,1042.9,606,161,6.918946338631213,0.017179582,0.188525390625,-3.0403494738042354,1600,0.0003,0.2,0.7714930176734924,-0.0075382407405413685,0.5256712436676025,0.9207132831215858
543,135.35526312,331776,1048.09,610,162,1.6459927136078476,0.01698121,0.27109375,-3.016689331829548,1610,0.0003,0.2,0.5603510737419128,-0.00528960728115635,0.5224176049232483,0.6452837586402893
543,135.51382755999998,333824,1045.64,613,163,2.957746283058077,0.021260425,0.268359375,-3.002812810242176,1620,0.0003,0.2,0.38845884799957275,-0.00757231154711917,0.5222424268722534,0.3956370949745178
544,138.6282187,335872,1053.72,617,164,1.9813962141051888,0.022836111,0.222509765625,-2.981938807666302,1630,0.0003,0.2,0.36155086755752563,-0.008095318514097016,0.5182547569274902,0.5384198129177094
544,138.72663598,337920,1052.24,620,165,2.8512856241315605,0.017891996,0.1958984375,-2.968887608498335,1640,0.0003,0.2,0.23055313527584076,-0.010046966368099675,0.518839955329895,0.47152847051620483
544,137.55652012000002,339968,1044.2,624,166,1.6934927137568594,0.018256184,0.233203125,-2.9586600594222547,1650,0.0003,0.2,0.19729061424732208,-0.009050655397004448,0.515509307384491,0.6021503508090973
545,134.6854256,342016,1026.42,627,167,9.868529847823083,0.012409962,0.139892578125,-2.9393716521561144,1660,0.0003,0.2,1.877129077911377,-0.007114944989734795,0.5139092206954956,0.9438306465744972
545,138.4430518,344064,1039.27,630,168,12.850015920400619,0.0112346755,0.130419921875,-2.933669417351484,1670,0.0003,0.2,1.4292551279067993,-0.0052042020412045534,0.5134873390197754,0.9391164034605026
545,138.69473729,346112,1036.22,634,169,7.1908688560128216,0.013816817,0.1646484375,-2.9362120896577837,1680,0.0003,0.2,1.259081482887268,-0.005932608018338214,0.5144193172454834,-0.2961012125015259
